package,version,imports,suggests,repository,description
AzureGraph,1.3.2,"AzureAuth (>= 1.0.1), utils, httr (>= 1.3), jsonlite, openssl,
curl, R6","AzureRMR, vctrs, knitr, rmarkdown, testthat",https://cran.rstudio.com/src/contrib,"A simple interface to the 'Microsoft Graph' API <https://docs.microsoft.com/en-us/graph/overview>. 'Graph' is a comprehensive framework for accessing data in various online Microsoft services. This package was originally intended to provide an R interface only to the 'Azure Active Directory' part, with a view to supporting interoperability of R and 'Azure': users, groups, registered apps and service principals. However it has since been expanded into a more general tool for interacting with Graph. Part of the 'AzureR' family of packages."
backports,1.4.1,,,https://cran.rstudio.com/src/contrib,"
    Functions introduced or changed since R v3.0.0 are re-implemented in this
    package. The backports are conditionally exported in order to let R resolve
    the function name to either the implemented backport, or the respective base
    version, if available. Package developers can make use of new functions or
    arguments by selectively importing specific backports to
    support older installations."
BAMMtools,2.1.10,"Rcpp (>= 0.11.0), gplots, methods",parallel,https://cran.rstudio.com/src/contrib,"Provides functions for analyzing and visualizing complex
    macroevolutionary dynamics on phylogenetic trees. It is a companion
    package to the command line program BAMM (Bayesian Analysis of
    Macroevolutionary Mixtures) and is entirely oriented towards the analysis,
    interpretation, and visualization of evolutionary rates. Functionality
    includes visualization of rate shifts on phylogenies, estimating
    evolutionary rates through time, comparing posterior distributions of
    evolutionary rates across clades, comparing diversification models using
    Bayes factors, and more."
base64enc,0.1-3,,,https://cran.rstudio.com/src/contrib,This package provides tools for handling base64 encoding. It is more flexible than the orphaned base64 package.
beeswarm,0.4.0,"stats, graphics, grDevices, utils",,https://cran.rstudio.com/src/contrib,"The bee swarm plot is a one-dimensional scatter plot like
    ""stripchart"", but with closely-packed, non-overlapping points. "
bench,1.1.2,"glue, methods, pillar, profmem, rlang (>= 0.2.0), stats,
tibble (>= 3.0.1), utils","covr, dplyr, forcats, ggbeeswarm, ggplot2, ggridges,
jsonlite, mockery, parallel, scales, testthat, tidyr (>=
0.8.1), vctrs, withr",https://cran.rstudio.com/src/contrib,"Tools to accurately benchmark and analyze execution times for
    R expressions."
BH,1.78.0-0,,,https://cran.rstudio.com/src/contrib,"Boost provides free peer-reviewed portable C++ source 
 libraries.  A large part of Boost is provided as C++ template code
 which is resolved entirely at compile-time without linking.  This 
 package aims to provide the most useful subset of Boost libraries 
 for template use among CRAN packages. By placing these libraries in 
 this package, we offer a more efficient distribution system for CRAN 
 as replication of this code in the sources of other packages is 
 avoided. As of release 1.78.0-0, the following Boost libraries are
 included: 'accumulators' 'algorithm' 'align' 'any' 'atomic' 'beast'
 'bimap' 'bind' 'circular_buffer' 'compute' 'concept' 'config'
 'container' 'date_time' 'detail' 'dynamic_bitset' 'exception'
 'flyweight' 'foreach' 'functional' 'fusion' 'geometry' 'graph' 'heap'
 'icl' 'integer' 'interprocess' 'intrusive' 'io' 'iostreams'
 'iterator' 'lambda2' 'math' 'move' 'mp11' 'mpl' 'multiprecision'
 'numeric' 'pending' 'phoenix' 'polygon' 'preprocessor' 'process'
 'propery_tree' 'random' 'range' 'scope_exit' 'smart_ptr' 'sort'
 'spirit' 'tuple' 'type_traits' 'typeof' 'unordered' 'utility' 'uuid'."
bit,4.0.4,,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",https://cran.rstudio.com/src/contrib,"Provided are classes for boolean and skewed boolean vectors,
    fast boolean methods, fast unique and non-unique integer sorting,
    fast set operations on sorted and unsorted sets of integers, and
    foundations for ff (range index, compression, chunked processing)."
bit64,4.0.5,,,https://cran.rstudio.com/src/contrib,"
 Package 'bit64' provides serializable S3 atomic 64bit (signed) integers. 
 These are useful for handling database keys and exact counting in +-2^63.
 WARNING: do not use them as replacement for 32bit integers, integer64 are not
 supported for subscripting by R-core and they have different semantics when 
 combined with double, e.g. integer64 + double => integer64. 
 Class integer64 can be used in vectors, matrices, arrays and data.frames. 
 Methods are available for coercion from and to logicals, integers, doubles, 
 characters and factors as well as many elementwise and summary functions. 
 Many fast algorithmic operations such as 'match' and 'order' support inter-
 active data exploration and manipulation and optionally leverage caching."
bitops,1.0-7,,,https://cran.rstudio.com/src/contrib,Functions for bitwise operations on integer vectors.
blob,1.2.3,"methods, rlang, vctrs (>= 0.2.1)","covr, crayon, pillar (>= 1.2.1), testthat",https://cran.rstudio.com/src/contrib,"R's raw vector is useful for storing a single
    binary object.  What if you want to put a vector of them in a data
    frame? The 'blob' package provides the blob object, a list of raw
    vectors, suitable for use as a column in data frame."
bmp,0.3,,"pixmap, testthat",https://cran.rstudio.com/src/contrib,"Reads Windows BMP format images. Currently limited to 8 bit
    greyscale images and 24,32 bit (A)RGB images. Pure R implementation without
    external dependencies."
boot,1.3-28,,"MASS, survival",https://cran.rstudio.com/src/contrib,"Functions and datasets for bootstrapping from the
  book ""Bootstrap Methods and Their Application"" by A. C. Davison and 
  D. V. Hinkley (1997, CUP), originally written by Angelo Canty for S."
brew,1.0-7,,testthat,https://cran.rstudio.com/src/contrib,"Implements a templating framework for mixing text and
        R code for report generation. brew template syntax is similar
        to PHP, Ruby's erb module, Java Server Pages, and Python's psp
        module."
brio,1.1.3,,"covr, testthat (>= 2.1.0)",https://cran.rstudio.com/src/contrib,"Functions to handle basic input output, these functions
    always read and write UTF-8 (8-bit Unicode Transformation Format)
    files and provide more explicit control over line endings."
broom,1.0.0,"backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr
(>= 1.0.0), ggplot2","AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, caret, cluster, cmprsk, coda, covr, drc, e1071,
emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam (>=
1.15), gee, geepack, glmnet, glmnetUtils, gmm, Hmisc, irlba,
interp, joineRML, Kendall, knitr, ks, Lahman, lavaan, leaps,
lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38), lsmeans, maps,
maptools, margins, MASS, Matrix, mclust, mediation, metafor,
mfx, mgcv, mlogit, modeldata, modeltests, muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",https://cran.rstudio.com/src/contrib,"Summarizes key information about statistical
    objects in tidy tibbles. This makes it easy to report results, create
    plots and consistently work with large numbers of models at once.
    Broom provides three verbs that each provide different types of
    information about a model. tidy() summarizes information about model
    components such as coefficients of a regression. glance() reports
    information about an entire model, such as goodness of fit measures
    like AIC and BIC. augment() adds information about individual
    observations to a dataset, such as fitted values or influence
    measures."
broom.helpers,1.6.0,"broom, cli, dplyr, labelled, lifecycle, purrr, rlang, stats,
stringr, tibble, tidyr","brms (>= 2.13.0), broom.mixed, cmprsk, covr, datasets,
emmeans, lfe, forcats, gam, gee, geepack, ggplot2, glmmTMB,
glue, gt, gtsummary, knitr, lavaan, lme4, MASS, mgcv, mice,
nnet, ordinal, parameters, plm, rmarkdown, rstanarm, spelling,
survey, survival, testthat, VGAM",https://cran.rstudio.com/src/contrib,"Provides suite of functions to work with regression
    model 'broom::tidy()' tibbles.  The suite includes functions to group
    regression model terms by variable, insert reference and header rows
    for categorical variables, add variable labels, and more."
bslib,0.4.0,"grDevices, htmltools (>= 0.5.2), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang, cachem, memoise","shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl, magrittr",https://cran.rstudio.com/src/contrib,Simplifies custom 'CSS' styling of both 'shiny' and 'rmarkdown' via 'Bootstrap' 'Sass'. Supports both 'Bootstrap' 3 and 4 as well as their various 'Bootswatch' themes. An interactive widget is also provided for previewing themes in real time.
cachem,1.0.6,"rlang, fastmap",testthat,https://cran.rstudio.com/src/contrib,"Key-value stores with automatic pruning. Caches can limit
    either their total size or the age of the oldest object (or both),
    automatically pruning objects to maintain the constraints."
Cairo,1.5-14,"grDevices, graphics",png,https://cran.rstudio.com/src/contrib,"R graphics device using cairographics library that can be used to create high-quality vector (PDF, PostScript and SVG) and bitmap output (PNG,JPEG,TIFF), and high-quality rendering in displays (X11 and Win32). Since it uses the same back-end for all output, copying across formats is WYSIWYG. Files are created without the dependence on X11 or other external programs. This device supports alpha channel (semi-transparent drawing) and resulting images can contain transparent and semi-transparent regions. It is ideal for use in server environments (file output) and as a replacement for other devices that don't have Cairo's capabilities such as alpha support or anti-aliasing. Backends are modular such that any subset of backends is supported."
callr,3.7.1,"processx (>= 3.6.1), R6, utils","cli (>= 1.1.0), covr, mockery, ps, rprojroot, spelling,
testthat (>= 3.0.0), withr (>= 2.3.0)",https://cran.rstudio.com/src/contrib,"It is sometimes useful to perform a computation in a
    separate R process, without affecting the current R process at all.
    This packages does exactly that."
car,3.0-12,"abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, lme4 (>=
1.1-27.1), nlme","alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), rio, sandwich, SparseM,
survival, survey",https://cran.rstudio.com/src/contrib,"
  Functions to Accompany J. Fox and S. Weisberg, 
  An R Companion to Applied Regression, Third Edition, Sage, 2019."
carData,3.0-5,,car (>= 3.0-0),https://cran.rstudio.com/src/contrib,"
  Datasets to Accompany J. Fox and S. Weisberg, 
  An R Companion to Applied Regression, Third Edition, Sage (2019)."
caret,6.0-90,"e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)","BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",https://cran.rstudio.com/src/contrib,"Misc functions for training and plotting classification and
    regression models."
caTools,1.18.2,bitops,"MASS, rpart",https://cran.rstudio.com/src/contrib,"Contains several basic utility functions including: moving
        (rolling, running) window statistic functions, read/write for
        GIF and ENVI binary files, fast calculation of AUC, LogitBoost
        classifier, base64 encoder/decoder, round-off-error-free sum
        and cumsum, etc."
cellranger,1.1.0,"rematch, tibble","covr, testthat (>= 1.0.0), knitr, rmarkdown",https://cran.rstudio.com/src/contrib,"Helper functions to work with spreadsheets and the ""A1:D10"" style
    of cell range specification."
checkmate,2.1.0,"backports (>= 1.1.0), utils","R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",https://cran.rstudio.com/src/contrib,"Tests and assertions to perform frequent argument checks. A
    substantial part of the package was written in C to minimize any worries
    about execution time overhead."
class,7.3-20,MASS,,https://cran.rstudio.com/src/contrib,"Various functions for classification, including k-nearest
  neighbour, Learning Vector Quantization and Self-Organizing Maps."
classInt,0.4-7,"grDevices, stats, graphics, e1071, class, KernSmooth","spData (>= 0.2.6.2), units, knitr, rmarkdown",https://cran.rstudio.com/src/contrib,Selected commonly used methods for choosing univariate class intervals for mapping or other graphics purposes.
cli,3.3.0,"glue (>= 1.6.0), utils","asciicast, callr, covr, digest, grDevices, htmltools,
htmlwidgets, knitr, methods, mockery, processx, ps (>=
1.3.4.9000), rlang, rmarkdown, rstudioapi, shiny, testthat,
tibble, whoami, withr",https://cran.rstudio.com/src/contrib,"A suite of tools to build attractive command line interfaces
    ('CLIs'), from semantic elements: headings, lists, alerts, paragraphs,
    etc. Supports custom themes via a 'CSS'-like language. It also contains a
    number of lower level 'CLI' elements: rules, boxes, trees, and
    'Unicode' symbols with 'ASCII' alternatives. It support ANSI colors and
    text styles as well."
clipr,0.8.0,utils,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",https://cran.rstudio.com/src/contrib,"Simple utility functions to read from and write to
    the Windows, OS X, and X11 clipboards."
clisymbols,1.2.0,,testthat,https://cran.rstudio.com/src/contrib,"A small subset of Unicode symbols, that are useful
    when building command line applications. They fall back to
    alternatives on terminals that do not support Unicode.
    Many symbols were taken from the 'figures' 'npm' package
    (see <https://github.com/sindresorhus/figures>)."
clock,0.6.0,"ellipsis (>= 0.3.1), rlang (>= 0.4.10), tzdb (>= 0.2.0), vctrs
(>= 0.3.7)","covr, knitr, magrittr, pillar, rmarkdown, testthat (>=
3.0.0), withr",https://cran.rstudio.com/src/contrib,"Provides a comprehensive library for date-time manipulations
    using a new family of orthogonal date-time classes (durations, time
    points, zoned-times, and calendars) that partition responsibilities so
    that the complexities of time zones are only considered when they are
    really needed. Capabilities include: date-time parsing, formatting,
    arithmetic, extraction and updating of components, and rounding."
cluster,2.1.3,"graphics, grDevices, stats, utils","MASS, Matrix",https://cran.rstudio.com/src/contrib,"Methods for Cluster analysis.  Much extended the original from
	Peter Rousseeuw, Anja Struyf and Mia Hubert,
	based on Kaufman and Rousseeuw (1990) ""Finding Groups in Data""."
codetools,0.2-18,,,https://cran.rstudio.com/src/contrib,Code analysis tools for R.
collections,0.3.5,,"covr (>= 3.4.0), testthat (>= 2.3.1)",https://cran.rstudio.com/src/contrib,"Provides high performance container data types such
    as queues, stacks, deques, dicts and ordered dicts. Benchmarks
    <https://randy3k.github.io/collections/articles/benchmark.html> have
    shown that these containers are asymptotically more efficient than
    those offered by other packages."
colorblindr,0.1.0,"cowplot (> 0.8.0), shiny (>= 1.0.0), scales (>= 0.5.0),
methods","covr, gtable, knitr, magick, rmarkdown, testthat, vdiffr,
viridis",https://github.com/clauswilke/colorblindr,"Provides a variety of functions that are helpful to simulate 
  the effects of colorblindness in R figures. Complete figures can be modified
  to simulate the effects of various types of colorblindness. The resulting 
  figures are standard grid objects and can be further manipulated or outputted
  as usual."
colorspace,2.0-3,"graphics, grDevices, stats","datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",https://cran.rstudio.com/src/contrib,"Carries out mapping between assorted color spaces including RGB, HSV, HLS,
             CIEXYZ, CIELUV, HCL (polar CIELUV), CIELAB, and polar CIELAB.
	     Qualitative, sequential, and diverging color palettes based on HCL colors
	     are provided along with corresponding ggplot2 color scales.
	     Color palette choice is aided by an interactive app (with either a Tcl/Tk
	     or a shiny graphical user interface) and shiny apps with an HCL color picker and a
	     color vision deficiency emulator. Plotting functions for displaying
	     and assessing palettes include color swatches, visualizations of the
	     HCL space, and trajectories in HCL and/or RGB spectrum. Color manipulation
	     functions include: desaturation, lightening/darkening, mixing, and
	     simulation of color vision deficiencies (deutanomaly, protanomaly, tritanomaly).
	     Details can be found on the project web page at <https://colorspace.R-Forge.R-project.org/>
	     and in the accompanying scientific paper: Zeileis et al. (2020, Journal of Statistical
	     Software, <doi:10.18637/jss.v096.i01>)."
commonmark,1.8.0,,"curl, testthat, xml2",https://cran.rstudio.com/src/contrib,"The CommonMark specification defines a rationalized version of markdown
    syntax. This package uses the 'cmark' reference implementation for converting
    markdown text into various formats including html, latex and groff man. In
    addition it exposes the markdown parse tree in xml format. Also includes opt-in
    support for GFM extensions including tables, autolinks, and strikethrough text."
concaveman,1.1.0,"V8, sf, magrittr, jsonlite, dplyr",testthat,https://cran.rstudio.com/src/contrib,The concaveman function ports the 'concaveman' (<https://github.com/mapbox/concaveman>) library from 'mapbox'. It computes the concave polygon(s) for one or several set of points.
conflicted,1.1.0,"memoise, rlang (>= 0.3.4)","callr, crayon, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0)",https://cran.rstudio.com/src/contrib,"R's default conflict management system gives the most
    recently loaded package precedence. This can make it hard to detect
    conflicts, particularly when they arise because a package update
    creates ambiguity that did not previously exist. 'conflicted' takes a
    different approach, making every conflict an error and forcing you to
    choose which function to use."
conquer,1.2.1,"Rcpp (>= 1.0.3), Matrix, matrixStats, stats, caret",,https://cran.rstudio.com/src/contrib,"Estimation and inference for conditional linear quantile regression models using a convolution smoothed approach. In the low-dimensional setting, efficient gradient-based methods are employed for fitting both a single model and a regression process over a quantile range. Normal-based and (multiplier) bootstrap confidence intervals for all slope coefficients are constructed. In high dimensions, the conquer methods complemented with l_1-penalization and iteratively reweighted l_1-penalization are used to fit sparse models."
corrplot,0.92,,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",https://cran.rstudio.com/src/contrib,Provides a visual exploratory tool on correlation matrix that supports automatic variable reordering to help detect hidden patterns among variables.
countrycode,1.4.0,,"testthat, tibble, utf8",https://cran.rstudio.com/src/contrib,"Standardize country names, convert them into one of 40
    different coding schemes, convert between coding schemes, and assign
    region descriptors."
COVIDutilities,1.1.0,"magrittr, dplyr, tidyr, readr, tibble, stats, purrr, rvest,
stringr, xml2, scales, ggplot2, markdown, zoo, tidyverse,
lubridate","rmarkdown, knitr, spelling, qpdf, extrafont",https://github.com/USAID-OHA-SI/COVIDutilities,What the package does (one paragraph).
cowplot,1.1.1,"ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales","Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",https://cran.rstudio.com/src/contrib,"
    Provides various features that help with creating publication-quality figures
    with 'ggplot2', such as a set of themes, functions to align plots and arrange
    them into complex compound figures, and functions that make it easy to annotate
    plots and or mix plots with images. The package was originally written for
    internal use in the Wilke lab, hence the name (Claus O. Wilke's plot package).
    It has also been used extensively in the book Fundamentals of Data
    Visualization."
cpp11,0.4.2,,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",https://cran.rstudio.com/src/contrib,"Provides a header only, C++11 interface to R's C
    interface.  Compared to other approaches 'cpp11' strives to be safe
    against long jumps from the C API as well as C++ exceptions, conform
    to normal R function semantics and supports interaction with 'ALTREP'
    vectors."
crayon,1.5.1,"grDevices, methods, utils","mockery, rstudioapi, testthat, withr",https://cran.rstudio.com/src/contrib,"Colored terminal output on terminals that support 'ANSI'
    color and highlight codes. It also works in 'Emacs' 'ESS'. 'ANSI'
    color support is automatically detected. Colors and highlighting can
    be combined and nested. New styles can also be created easily.
    This package was inspired by the 'chalk' 'JavaScript' project."
credentials,1.3.2,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass","testthat, knitr, rmarkdown",https://cran.rstudio.com/src/contrib,"Setup and retrieve HTTPS and SSH credentials for use with 'git' and 
    other services. For HTTPS remotes the package interfaces the 'git-credential' 
    utility which 'git' uses to store HTTP usernames and passwords. For SSH 
    remotes we provide convenient functions to find or generate appropriate SSH 
    keys. The package both helps the user to setup a local git installation, and
    also provides a back-end for git/ssh client libraries to authenticate with 
    existing user credentials."
crosstalk,1.2.0,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6","shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",https://cran.rstudio.com/src/contrib,"Provides building blocks for allowing HTML widgets to communicate
    with each other, with Shiny or without (i.e. static .html files). Currently
    supports linked brushing and filtering."
crul,1.2.0,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime","testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",https://cran.rstudio.com/src/contrib,"A simple HTTP client, with tools for making HTTP requests,
    and mocking HTTP requests. The package is built on R6, and takes
    inspiration from Ruby's 'faraday' gem (<https://rubygems.org/gems/faraday>).
    The package name is a play on curl, the widely used command line tool
    for HTTP, and this package is built on top of the R package 'curl', an
    interface to 'libcurl' (<https://curl.se/libcurl/>)."
curl,4.3.2,,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",https://cran.rstudio.com/src/contrib,"The curl() and curl_download() functions provide highly
    configurable drop-in replacements for base url() and download.file() with
    better performance, support for encryption (https, ftps), gzip compression,
    authentication, and other 'libcurl' goodies. The core of the package implements a
    framework for performing fully customized requests where data can be processed
    either in memory, on disk, or streaming via the callback or connection
    interfaces. Some knowledge of 'libcurl' is recommended; for a more-user-friendly
    web client see the 'httr' package which builds on this package with http
    specific tools and logic."
cyclocomp,1.1.0,"callr, crayon, desc, remotes, withr",testthat,https://cran.rstudio.com/src/contrib,"Cyclomatic complexity is a software metric (measurement),
    used to indicate the complexity of a program. It is a quantitative
    measure of the number of linearly independent paths through a program's
    source code. It was developed by Thomas J. McCabe, Sr. in 1976."
data.table,1.14.2,methods,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",https://cran.rstudio.com/src/contrib,"Fast aggregation of large data (e.g. 100GB in RAM), fast ordered joins, fast add/modify/delete of columns by group using no copies at all, list columns, friendly and fast character-separated-value read/write. Offers a natural and flexible syntax, for faster development."
datapackcommons,1.0.2,"assertthat, dplyr, glue, httr, jsonlite, lubridate, magrittr,
plyr, purrr, readr, rlist, stringr, tibble, tidyr, datimutils","doMC, httptest, testthat, datimvalidation",https://github.com/pepfar-datim/data-pack-commons,"More about what it does (maybe more than one line)
    Use four spaces when indenting paragraphs within the Description."
datapackr,5.1.2,"dplyr (>= 0.8.3), tidyr (>= 1.0.0), tidyxl (>= 1.0.4), readxl
(>= 1.3.1), readr (>= 1.3.1), jsonlite (>= 1.6), purrr (>=
0.3.3), tibble (>= 2.1.3), stringr (>= 1.4.0), stringi, httr
(>= 1.4.0), rlist (>= 0.4.6.1), magrittr (>= 1.5), crayon (>=
1.3.4), getPass (>= 0.2-2), openxlsx, lazyeval, stats,
lubridate (>= 1.7.4), data.table (>= 1.12.8), scales (>=
1.0.0), datimvalidation, datapackcommons (>= 0.2.0), tidyselect
(>= 0.2.5), glue (>= 1.3.1), rlang (>= 0.4.2), assertthat,
plyr, fuzzyjoin (>= 0.1.6), R6","devtools (>= 2.0.1), httptest, testthat, cellranger,
rprojroot",https://github.com/pepfar-datim/datapackr,Generates and processes PEPFAR Data Packs and Site Tools.
datapasta,3.1.0,"readr (>= 1.2.0), clipr (>= 0.3.0), rstudioapi (>= 0.6),
methods","tibble (>= 1.2), testthat, knitr, rmarkdown, utils, covr,
data.table",https://cran.rstudio.com/src/contrib,RStudio addins and R functions that make copy-pasting vectors and tables to text painless.
